id;company_name;job_title;start_date;end_date;is_current
1;fast energetically parse;Corporate Accountability Specialist;2024-07-26T13:59:59;2024-07-26T17:09:26;false
2;pro supposing;Central Operations Strategist;2024-07-27T05:20:07;2024-07-27T03:01:47;true
3;mortally;Product Assurance Consultant;2024-07-26T18:08:48;2024-07-26T19:05:40;true
4;soggy lest friendly;National Research Technician;2024-07-26T18:49:41;2024-07-26T15:58:08;true
5;painfully;Direct Marketing Supervisor;2024-07-26T15:06:49;2024-07-26T18:31:34;true
6;vice sidecar monthly;Regional Operations Developer;2024-07-26T17:10:24;2024-07-27T11:14:00;true
7;hedge meh;Future Communications Strategist;2024-07-27T06:55:59;2024-07-26T14:30:55;false
8;beside if;Global Mobility Liaison;2024-07-26T23:22:18;2024-07-27T10:55:52;false
9;blah;Global Program Analyst;2024-07-27T11:59:57;2024-07-26T17:55:16;true
10;ripe since certainly;Direct Identity Architect;2024-07-27T06:45:38;2024-07-27T03:28:10;false
