id;name;description;rate;jhi_order
1;boohoo gosh astride;cell well-off ouch;2008.06;26707
2;yet strike quarterly;mmm artificer;2950.82;31126
3;autoimmunity;span apud gadzooks;24052.54;15452
4;authorise unlucky;and often bail;30671.5;15188
5;including whoa until;tidy what ideate;260.99;30971
6;fanlight;married out harmful;5329.67;9021
7;phew slowly anti;yowza;7977.05;23793
8;always;or blah;8829.56;2127
9;till whereas player;majestically;19596.76;14650
10;among blog;spear consequently;16763.37;12496
